epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1322,0.69584,2.45284,1.16843,0.80015,0.94986,0.99074,0.81735,0.59115,1.1687,1.06349,0.00026664,0.00026664,0.00026664
2,21.2183,0.61558,0.93179,1.07184,0.62642,0.87584,0.85275,0.72567,0.5354,1.42309,1.01185,0.000539001,0.000539001,0.000539001
3,28.7407,0.61506,0.73523,1.05402,0.75972,0.73965,0.83577,0.65216,0.79554,1.31396,1.30706,0.000805862,0.000805862,0.000805862
4,36.346,0.58415,0.61471,1.03422,0.52014,0.4794,0.57519,0.32051,2.50862,3.22619,3.83999,0.00106722,0.00106722,0.00106722
5,43.6337,0.63525,0.52225,1.07886,0.18119,0.59,0.24159,0.15338,1.26475,3.58855,1.92709,0.001067,0.001067,0.001067
6,50.994,0.61056,0.50832,1.03274,0.77663,0.7603,0.83703,0.64296,0.8572,1.28118,1.34312,0.00105601,0.00105601,0.00105601
7,58.0417,0.58467,0.54382,1.03719,0.78581,0.39949,0.42269,0.35711,0.95417,3.12122,1.56732,0.00104501,0.00104501,0.00104501
8,65.3617,0.55718,0.51506,1.01927,0.82258,0.59089,0.70557,0.55513,0.60485,2.91303,1.07138,0.00103401,0.00103401,0.00103401
9,72.4351,0.54355,0.46234,1.01135,0.88086,0.76734,0.74624,0.63825,0.55888,1.4624,1.0336,0.00102301,0.00102301,0.00102301
10,79.6205,0.55158,0.46628,1.02689,0.60809,0.76524,0.76591,0.59897,0.79952,1.44805,1.20428,0.00101201,0.00101201,0.00101201
11,86.8937,0.54195,0.43336,1.01064,0.93263,0.6,0.65055,0.60097,0.46513,1.88598,0.97129,0.00100101,0.00100101,0.00100101
12,94.3472,0.55198,0.47531,1.01232,0.93174,0.97,0.98465,0.8641,0.48995,0.79442,0.9844,0.000990012,0.000990012,0.000990012
13,101.565,0.51837,0.4294,0.99467,0.98896,1,0.995,0.8867,0.43061,0.4041,0.89512,0.000979013,0.000979013,0.000979013
14,108.963,0.50627,0.39362,0.98016,0.9909,1,0.995,0.90346,0.46662,0.34039,0.92845,0.000968014,0.000968014,0.000968014
15,116.28,0.47163,0.36345,0.96731,0.83349,0.92,0.84568,0.79183,0.40821,0.66933,0.90144,0.000957015,0.000957015,0.000957015
16,123.767,0.49894,0.36361,0.98205,0.96087,1,0.99318,0.87245,0.45258,0.42208,0.91089,0.000946016,0.000946016,0.000946016
17,131.061,0.49004,0.35178,0.96938,0.99629,1,0.995,0.92962,0.3987,0.25977,0.88073,0.000935018,0.000935018,0.000935018
18,138.667,0.47153,0.33713,0.96728,0.98908,1,0.995,0.92181,0.40575,0.30579,0.91008,0.000924019,0.000924019,0.000924019
19,146.252,0.47183,0.34119,0.95817,0.99369,1,0.995,0.9063,0.39208,0.28357,0.88669,0.00091302,0.00091302,0.00091302
20,153.735,0.46959,0.34656,0.97243,0.98081,0.99,0.9937,0.90286,0.40871,0.34199,0.90956,0.000902021,0.000902021,0.000902021
21,161.443,0.48271,0.35525,0.95745,0.97913,0.99,0.99452,0.86963,0.42912,0.4549,0.93355,0.000891022,0.000891022,0.000891022
22,168.932,0.47108,0.33742,0.96478,0.98985,1,0.995,0.92365,0.38878,0.37203,0.89156,0.000880023,0.000880023,0.000880023
23,176.479,0.46011,0.31836,0.972,0.9945,1,0.995,0.92743,0.38796,0.25496,0.89295,0.000869024,0.000869024,0.000869024
24,184.071,0.44415,0.31185,0.94388,0.96606,1,0.99409,0.92301,0.34877,0.29394,0.87935,0.000858025,0.000858025,0.000858025
25,191.733,0.45965,0.33969,0.95562,0.73112,0.99041,0.96224,0.87265,0.43558,0.47647,0.91059,0.000847026,0.000847026,0.000847026
26,199.294,0.46515,0.35113,0.97057,0.81729,0.95669,0.93975,0.86495,0.3709,0.54474,0.88423,0.000836027,0.000836027,0.000836027
27,206.696,0.43163,0.31291,0.94226,0.89558,0.95,0.92809,0.85365,0.40767,0.40513,0.88852,0.000825029,0.000825029,0.000825029
28,214.519,0.45738,0.32177,0.96601,0.99465,1,0.995,0.93536,0.37184,0.24737,0.86684,0.00081403,0.00081403,0.00081403
29,222.748,0.44891,0.30305,0.95951,0.94689,1,0.995,0.93367,0.36301,0.27739,0.86196,0.000803031,0.000803031,0.000803031
30,230.486,0.45214,0.32045,0.94724,0.99472,1,0.995,0.93471,0.38132,0.23972,0.87,0.000792032,0.000792032,0.000792032
31,238.16,0.4419,0.30222,0.94104,0.99075,1,0.995,0.92386,0.38928,0.24127,0.88029,0.000781033,0.000781033,0.000781033
32,245.699,0.41465,0.29181,0.94332,0.99535,1,0.995,0.92059,0.40181,0.24341,0.89012,0.000770034,0.000770034,0.000770034
33,253.764,0.42335,0.29754,0.95411,0.9961,1,0.995,0.94681,0.32711,0.23297,0.85055,0.000759035,0.000759035,0.000759035
34,261.788,0.42408,0.29471,0.93562,0.98977,1,0.995,0.94752,0.33314,0.30891,0.8532,0.000748036,0.000748036,0.000748036
35,269.539,0.40912,0.28536,0.93797,0.99148,1,0.995,0.93677,0.37291,0.27808,0.87739,0.000737037,0.000737037,0.000737037
36,277.157,0.41179,0.27602,0.94038,0.99547,1,0.995,0.94051,0.36445,0.28652,0.86513,0.000726038,0.000726038,0.000726038
37,285.549,0.4198,0.29281,0.94017,0.99454,1,0.995,0.94188,0.3502,0.4296,0.8645,0.00071504,0.00071504,0.00071504
